,0,1
0,0.0,0.0155
1,0.001,0.009
2,0.002,0.007
3,0.003,0.012
4,0.004,0.0045
5,0.005,-0.007
6,0.006,-0.0115
7,0.007,0.0005
8,0.008,0.0015
9,0.009000000000000001,-0.012
10,0.01,-0.0105
11,0.011,-0.001
12,0.012,0.0065
13,0.013000000000000001,0.008
14,0.014,0.012
15,0.015,0.016
16,0.016,0.0105
17,0.017,0.013
18,0.018000000000000002,0.0175
19,0.019,0.0195
20,0.02,0.021
21,0.021,0.0125
22,0.022,0.009
23,0.023,0.008
24,0.024,0.004
25,0.025,-0.002
26,0.026000000000000002,-0.003
27,0.027,-0.004
28,0.028,-0.0075
29,0.029,-0.0055
30,0.03,-0.005
31,0.031,0.01
32,0.032,0.016
33,0.033,0.015
34,0.034,0.01
35,0.035,0.0075
36,0.036000000000000004,0.0215
37,0.037,0.022
38,0.038,0.0165
39,0.039,0.016
40,0.04,0.0155
41,0.041,0.0035
42,0.042,0.005
43,0.043000000000000003,0.0075
44,0.044,0.003
45,0.045,-0.0015
46,0.046,-0.013
47,0.047,-0.0185
48,0.048,-0.013
49,0.049,-0.0105
50,0.05,-0.019
51,0.051000000000000004,-0.013
52,0.052000000000000005,-0.01
53,0.053,-0.0065
54,0.054,-0.0015
55,0.055,-0.0005
56,0.056,-0.0005
57,0.057,-0.002
58,0.058,-0.0005
59,0.059000000000000004,0.0005
60,0.06,0.003
61,0.061,0.0005
62,0.062,0.0005
63,0.063,-0.017
64,0.064,-0.03
65,0.065,-0.026
66,0.066,-0.0345
67,0.067,-0.0365
68,0.068,-0.0325
69,0.069,-0.0415
70,0.07,-0.05
71,0.07100000000000001,-0.0415
72,0.07200000000000001,-0.031
73,0.073,-0.0315
74,0.074,-0.0415
75,0.075,-0.0485
76,0.076,-0.0375
77,0.077,-0.035
78,0.078,-0.0475
79,0.079,-0.05
80,0.08,-0.0485
81,0.081,-0.0545
82,0.082,-0.0605
83,0.083,-0.067
84,0.084,-0.0715
85,0.085,-0.0695
86,0.08600000000000001,-0.078
87,0.08700000000000001,-0.0805
88,0.088,-0.094
89,0.089,-0.122
90,0.09,-0.1085
91,0.091,-0.107
92,0.092,-0.1095
93,0.093,-0.1045
94,0.094,-0.1235
95,0.095,-0.1295
96,0.096,-0.128
97,0.097,-0.117
98,0.098,-0.109
99,0.099,-0.131
100,0.1,-0.153
101,0.101,-0.1585
102,0.10200000000000001,-0.162
103,0.10300000000000001,-0.1755
104,0.10400000000000001,-0.1855
105,0.105,-0.1965
106,0.106,-0.2095
107,0.107,-0.211
108,0.108,-0.2125
109,0.109,-0.2195
110,0.11,-0.226
111,0.111,-0.22
112,0.112,-0.224
113,0.113,-0.2205
114,0.114,-0.226
115,0.115,-0.248
116,0.116,-0.238
117,0.117,-0.229
118,0.11800000000000001,-0.2305
119,0.11900000000000001,-0.2535
120,0.12,-0.2765
121,0.121,-0.2765
122,0.122,-0.275
123,0.123,-0.2665
124,0.124,-0.2935
125,0.125,-0.327
126,0.126,-0.3265
127,0.127,-0.329
